,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7066,F36482,8196.0,E,2.0,2021-10-22 11:08:55.877,2021-10-22,2021-10-22 00:00:00,2021-10-22,,224.22000000000003,0.0,0.0
7067,F36483,2357.0,E,2.0,2021-10-22 11:30:30.803,2021-10-22,2021-10-06 00:00:00,2021-10-22,,3552.5000000000005,0.0,0.0
7068,F36484,8397.0,E,2.0,2021-10-22 12:41:56.257,2021-10-22,2021-10-22 00:00:00,2021-10-22,,587.13,0.0,0.0
7069,F36485,8408.0,E,3.0,2021-10-22 14:18:15.007,2021-10-22,2021-10-22 00:00:00,2021-10-22,,1352.5,0.0,0.0
7070,F36486,5926.0,E,2.0,2021-10-22 16:44:22.927,2021-10-22,2021-10-21 00:00:00,2021-10-22,,1856.9900000000002,0.0,0.0
7071,F36487,5926.0,E,2.0,2021-10-22 16:51:03.963,2021-10-22,2021-10-21 00:00:00,2021-10-22,,377.83000000000004,0.0,0.0
7072,F36488,5804.0,E,2.0,2021-10-22 16:54:11.273,2021-10-22,2021-10-22 00:00:00,2021-10-22,,920.0000000000001,0.0,0.0
7073,F36489,6724.0,E,2.0,2021-10-25 09:47:50.857,2021-10-25,2021-10-20 00:00:00,2021-10-25,,210.0,0.0,0.0
7074,F36490,253.0,E,3.0,2021-10-25 11:13:43.300,2021-10-25,2021-10-25 00:00:00,2021-12-09,,3923.0,0.0,0.0
7075,F36491,5746.0,E,2.0,2021-10-25 11:59:28.733,2021-10-25,2021-10-25 00:00:00,2021-10-25,,519.5,0.0,0.0
7076,F36492,6253.0,E,1.0,2021-10-25 15:07:42.990,2021-10-25,2021-10-25 00:00:00,2021-12-24,,9500.0,0.0,0.0
7077,F36493,8473.0,E,2.0,2021-10-25 16:10:17.437,2021-10-25,2021-10-13 00:00:00,2021-10-25,,1366.75,0.0,0.0
7078,F36494,8325.0,E,2.0,2021-10-25 16:25:44.893,2021-10-25,2021-10-25 00:00:00,2021-10-25,,300.00000000000006,0.0,0.0
7079,F36495,5926.0,E,2.0,2021-10-25 17:10:02.337,2021-10-25,2021-10-25 00:00:00,2021-10-25,,1450.6699999999998,0.0,0.0
7080,F36496,3032.0,E,2.0,2021-10-26 10:25:21.677,2021-10-26,2021-10-26 00:00:00,2021-10-26,,637.5006,0.0,0.0
7081,F36497,6152.0,E,3.0,2021-10-26 10:46:22.610,2021-10-26,2021-10-20 00:00:00,2021-11-03,,6204.8,0.0,0.0
7082,F36498,4598.0,E,1.0,2021-10-26 12:30:42.880,2021-10-26,2021-10-25 00:00:00,2021-11-25,,19156.300000000003,0.0,0.0
7083,F36499,6009.0,E,2.0,2021-10-26 13:41:43.510,2021-10-26,2021-10-26 00:00:00,2021-10-26,,275.88,0.0,0.0
7084,F36500,4535.0,E,2.0,2021-10-26 14:58:21.210,2021-10-26,2021-10-26 00:00:00,2021-10-26,,1424.5,0.0,0.0
7085,F36501,4535.0,E,2.0,2021-10-26 14:59:51.780,2021-10-26,2021-10-26 00:00:00,2021-10-26,,1330.0,0.0,0.0
7086,F36502,5923.0,E,2.0,2021-10-26 15:12:11.573,2021-10-26,2021-10-26 00:00:00,2021-10-26,,570.0,0.0,0.0
7087,F36503,6890.0,E,2.0,2021-10-26 16:17:25.657,2021-10-26,2021-10-26 00:00:00,2021-10-26,,240.00000000000003,0.0,0.0
7088,F36504,5926.0,E,2.0,2021-10-27 08:09:16.670,2021-10-27,2021-10-26 00:00:00,2021-10-27,,607.92,0.0,0.0
7089,F36505,8487.0,E,2.0,2021-10-27 10:31:36.230,2021-10-27,2021-10-27 00:00:00,2021-10-27,,130.0,0.0,0.0
7090,F36506,8488.0,E,2.0,2021-10-27 10:54:28.350,2021-10-27,2021-10-27 00:00:00,2021-10-27,,115.65220000000002,0.0,0.0
7091,F36507,6797.0,E,2.0,2021-10-27 11:47:46.773,2021-10-27,2021-10-27 00:00:00,2021-10-27,,403.25,0.0,0.0
7092,F36508,8490.0,E,2.0,2021-10-27 12:27:45.147,2021-10-27,2021-10-27 00:00:00,2021-10-27,,1680.0000000000002,0.0,0.0
7093,F36509,8490.0,E,2.0,2021-10-27 12:30:37.817,2021-10-27,2021-10-27 00:00:00,2021-10-27,,902.02,0.0,0.0
7094,F36510,4480.0,E,2.0,2021-10-27 13:01:57.527,2021-10-27,2021-10-21 00:00:00,2021-11-11,,2904.4,0.0,0.0
7095,F36511,4480.0,E,2.0,2021-10-27 13:07:43.223,2021-10-27,2021-10-27 00:00:00,2021-11-11,,1137.5,0.0,0.0
7096,F36512,8186.0,E,2.0,2021-10-27 13:22:23.980,2021-10-27,2021-10-27 00:00:00,2021-10-27,,94.84,0.0,0.0
7097,F36513,4403.0,E,2.0,2021-10-27 13:35:40.677,2021-10-27,2021-10-27 00:00:00,2021-10-27,,847.0000000000001,0.0,0.0
7098,F36514,5589.0,E,2.0,2021-10-27 14:02:54.630,2021-10-27,2021-10-27 00:00:00,2021-10-27,,965.0000000000001,0.0,0.0
7099,F36515,5589.0,E,2.0,2021-10-27 14:04:26.797,2021-10-27,2021-10-26 00:00:00,2021-10-27,,2106.0,0.0,0.0
