,Referencia,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
283,284,2004-04-19,Suelo,Alquiler,Girona,262.0,2404898.0,2004-10-20,Luisa
289,290,2004-04-20,Oficina,Alquiler,Girona,227.0,1437818.0,2005-03-27,Jesús
294,295,2004-04-22,Oficina,Venta,Girona,133.0,786695.0,2004-11-21,Luisa
296,297,2004-04-23,Suelo,Alquiler,Girona,288.0,2699136.0,2004-07-28,Pedro
301,302,2004-04-24,Industrial,Alquiler,Girona,211.0,1171894.0,2005-03-22,Pedro
302,303,2004-04-25,Oficina,Venta,Girona,209.0,1728221.0,2004-08-30,Carmen
304,305,2004-04-27,Oficina,Venta,Girona,249.0,1150380.0,2004-11-18,Joaquín
311,312,2004-04-29,Industrial,Venta,Girona,189.0,1579284.0,2005-01-07,Luisa
319,320,2004-05-02,Industrial,Alquiler,Girona,277.0,2456159.0,2004-08-04,María
320,321,2004-05-03,Industrial,Alquiler,Girona,190.0,977740.0,2004-08-12,Pedro
329,330,2004-05-05,Parking,Alquiler,Girona,125.0,1189250.0,2004-10-26,Pedro
331,332,2004-05-06,Local,Alquiler,Girona,138.0,877680.0,2005-03-31,Luisa
336,337,2004-05-08,Oficina,Venta,Girona,102.0,413610.0,2004-09-15,Pedro
347,348,2004-05-11,Oficina,Alquiler,Girona,187.0,1560889.0,2005-03-26,Joaquín
349,350,2004-05-13,Oficina,Venta,Girona,103.0,680830.0,2004-09-21,María
353,354,2004-05-14,Piso,Venta,Girona,122.0,885476.0,2005-03-30,Carmen
356,357,2004-05-15,Suelo,Venta,Girona,196.0,1707944.0,2004-08-19,Pedro
377,378,2004-05-24,Suelo,Alquiler,Girona,280.0,1680000.0,2004-09-17,María
378,379,2004-05-24,Piso,Venta,Girona,108.0,812808.0,2004-10-13,Jesús
380,381,2004-05-25,Casa,Venta,Girona,123.0,775884.0,2004-10-21,Joaquín
385,386,2004-05-26,Parking,Alquiler,Girona,184.0,830760.0,2004-09-13,Pedro
387,388,2004-05-28,Parking,Alquiler,Girona,137.0,835152.0,2005-02-13,Jesús
390,391,2004-05-30,Suelo,Venta,Girona,300.0,1483500.0,2005-03-29,Carmen
392,393,2004-05-31,Piso,Venta,Girona,225.0,1164375.0,2005-03-04,Pedro
394,395,2004-05-31,Casa,Alquiler,Girona,192.0,1159296.0,2005-05-23,Carmen
408,409,2004-06-04,Parking,Venta,Girona,293.0,1750089.0,2005-04-05,Luisa
411,412,2004-06-05,Local,Venta,Girona,148.0,1268952.0,2004-10-14,María
417,418,2004-06-07,Industrial,Alquiler,Girona,287.0,2452989.0,2005-01-26,Joaquín
418,419,2004-06-07,Parking,Venta,Girona,174.0,952302.0,2004-12-06,Luisa
424,425,2004-06-09,Casa,Venta,Girona,173.0,1117753.0,2004-12-11,María
434,435,2004-06-13,Industrial,Alquiler,Girona,233.0,1541528.0,2005-02-03,Jesús
436,437,2004-06-14,Parking,Venta,Girona,107.0,909821.0,2005-05-03,Luisa
438,439,2004-06-15,Oficina,Alquiler,Girona,298.0,2524358.0,2004-10-23,Luisa
442,443,2004-06-17,Piso,Alquiler,Girona,245.0,1001070.0,2004-10-14,Jesús
447,448,2004-06-17,Local,Alquiler,Girona,234.0,1159470.0,2004-10-02,Pedro
448,449,2004-06-17,Local,Venta,Girona,118.0,788948.0,2005-04-08,Pedro
452,453,2004-06-19,Suelo,Venta,Girona,185.0,1616900.0,2005-04-08,Jesús
458,459,2004-06-21,Oficina,Venta,Girona,107.0,590426.0,2004-11-03,María
462,463,2004-06-23,Casa,Venta,Girona,214.0,1962380.0,2005-06-01,Pedro
463,464,2004-06-24,Casa,Alquiler,Girona,143.0,836836.0,2005-06-15,Luisa
466,467,2004-06-24,Local,Venta,Girona,126.0,520758.0,2005-06-16,Pedro
473,474,2004-06-25,Suelo,Venta,Girona,199.0,1622646.0,2005-06-23,Jesús
478,479,2004-06-28,Oficina,Venta,Girona,232.0,1028224.0,2005-05-26,Luisa
483,484,2004-06-30,Casa,Venta,Girona,153.0,1506438.0,2004-12-03,Luisa
485,486,2004-06-30,Piso,Venta,Girona,283.0,2199476.0,2005-06-04,Luisa
496,497,2004-07-03,Oficina,Venta,Girona,209.0,1316073.0,2005-04-02,Pedro
516,517,2004-07-08,Industrial,Venta,Girona,174.0,1313526.0,2005-01-16,Pedro
517,518,2004-07-08,Casa,Venta,Girona,108.0,638064.0,2004-10-24,Luisa
522,523,2004-07-09,Suelo,Alquiler,Girona,270.0,1429380.0,2005-03-25,Carmen
525,526,2004-07-11,Parking,Venta,Girona,162.0,1594404.0,2005-03-07,María
535,536,2004-07-14,Casa,Venta,Girona,197.0,1292123.0,2005-06-30,Joaquín
536,537,2004-07-14,Local,Alquiler,Girona,117.0,1031121.0,2005-04-30,Luisa
537,538,2004-07-15,Industrial,Alquiler,Girona,279.0,2161134.0,2005-03-09,María
546,547,2004-07-20,Casa,Alquiler,Girona,200.0,1000000.0,2004-12-13,Jesús
548,549,2004-07-20,Local,Venta,Girona,237.0,1403988.0,2005-06-27,Carmen
550,551,2004-07-21,Piso,Alquiler,Girona,237.0,2215002.0,2004-10-31,Pedro
554,555,2004-07-22,Piso,Venta,Girona,138.0,1289748.0,2004-12-25,Luisa
556,557,2004-07-23,Piso,Alquiler,Girona,198.0,1916442.0,2005-04-14,Joaquín
557,558,2004-07-24,Piso,Alquiler,Girona,246.0,1875012.0,2005-03-08,Luisa
561,562,2004-07-25,Piso,Alquiler,Girona,161.0,960526.0,2005-06-21,Joaquín
565,566,2004-07-26,Local,Alquiler,Girona,266.0,1881950.0,2005-01-15,María
577,578,2004-07-29,Oficina,Venta,Girona,221.0,1571973.0,2004-12-25,Joaquín
578,579,2004-07-29,Industrial,Venta,Girona,148.0,811780.0,2005-04-17,Luisa
583,584,2004-08-01,Casa,Alquiler,Girona,257.0,1077601.0,2005-02-07,Luisa
584,585,2004-08-01,Parking,Alquiler,Girona,161.0,1050203.0,2005-02-04,Joaquín
591,592,2004-08-03,Parking,Alquiler,Girona,145.0,999630.0,2005-05-01,Pedro
600,601,2004-08-08,Casa,Alquiler,Girona,147.0,919632.0,2005-06-23,Luisa
601,602,2004-08-09,Industrial,Venta,Girona,227.0,1218763.0,2005-07-27,Joaquín
624,625,2004-08-15,Industrial,Alquiler,Girona,222.0,2171826.0,2005-01-12,Carmen
628,629,2004-08-17,Piso,Venta,Girona,249.0,1427019.0,2004-12-04,Jesús
629,630,2004-08-17,Parking,Alquiler,Girona,170.0,1567060.0,2005-02-19,María
631,632,2004-08-17,Piso,Venta,Girona,201.0,1816437.0,2005-05-10,Pedro
632,633,2004-08-17,Parking,Alquiler,Girona,167.0,1191044.0,2005-01-11,Luisa
634,635,2004-08-18,Local,Alquiler,Girona,197.0,981651.0,2005-01-17,Jesús
638,639,2004-08-19,Piso,Alquiler,Girona,277.0,2646181.0,2005-07-04,Carmen
640,641,2004-08-19,Oficina,Venta,Girona,249.0,2306238.0,2005-03-02,María
641,642,2004-08-20,Industrial,Venta,Girona,119.0,711382.0,2005-08-01,Luisa
647,648,2004-08-21,Oficina,Venta,Girona,267.0,1153173.0,2005-03-28,Pedro
650,651,2004-08-22,Piso,Venta,Girona,207.0,1015956.0,2005-06-17,Jesús
651,652,2004-08-22,Oficina,Alquiler,Girona,259.0,1080548.0,2004-12-31,María
653,654,2004-08-22,Oficina,Alquiler,Girona,207.0,1953873.0,2005-06-10,Luisa
654,655,2004-08-22,Oficina,Venta,Girona,293.0,2787016.0,2005-03-23,Luisa
660,661,2004-08-23,Local,Venta,Girona,278.0,1730550.0,2004-12-09,María
661,662,2004-08-24,Parking,Alquiler,Girona,254.0,1963166.0,2005-07-27,Joaquín
663,664,2004-08-24,Local,Alquiler,Girona,252.0,2057832.0,2005-03-14,Luisa
664,665,2004-08-25,Local,Alquiler,Girona,163.0,1520627.0,2005-04-20,Pedro
673,674,2004-08-29,Parking,Venta,Girona,152.0,1392168.0,2005-08-04,Pedro
690,691,2004-09-02,Casa,Alquiler,Girona,118.0,827062.0,2005-03-22,Joaquín
697,698,2004-09-05,Parking,Alquiler,Girona,187.0,789140.0,2005-05-16,Carmen
699,700,2004-09-06,Local,Alquiler,Girona,299.0,1251315.0,2005-01-20,Luisa
700,701,2004-09-06,Casa,Venta,Girona,225.0,2023200.0,2004-12-27,Joaquín
701,702,2004-09-07,Piso,Alquiler,Girona,295.0,2553225.0,2005-01-14,Carmen
705,706,2004-09-08,Piso,Alquiler,Girona,258.0,1501560.0,2005-01-05,Joaquín
706,707,2004-09-08,Industrial,Venta,Girona,215.0,1713120.0,2005-05-27,Carmen
717,718,2004-09-11,Suelo,Alquiler,Girona,161.0,736092.0,2005-02-26,María
725,726,2004-09-13,Parking,Venta,Girona,112.0,1081360.0,2005-05-03,María
726,727,2004-09-15,Suelo,Alquiler,Girona,195.0,1168440.0,2004-12-30,Luisa
730,731,2004-09-16,Casa,Venta,Girona,109.0,555246.0,2005-04-10,Joaquín
732,733,2004-09-17,Oficina,Alquiler,Girona,164.0,1225244.0,2005-08-07,Jesús
747,748,2004-09-22,Industrial,Alquiler,Girona,228.0,2145480.0,2005-06-21,María
749,750,2004-09-23,Parking,Alquiler,Girona,294.0,1335936.0,2005-07-14,Carmen
750,751,2004-09-23,Parking,Venta,Girona,132.0,556116.0,2005-09-11,Luisa
762,763,2004-09-27,Piso,Alquiler,Girona,291.0,2411808.0,2005-02-28,Joaquín
763,764,2004-09-27,Oficina,Alquiler,Girona,210.0,1122240.0,2005-08-27,Pedro
764,765,2004-09-28,Local,Alquiler,Girona,291.0,2354481.0,2005-01-26,Carmen
765,766,2004-09-29,Piso,Alquiler,Girona,204.0,1044480.0,2005-04-17,Jesús
767,768,2004-09-29,Piso,Venta,Girona,231.0,1213212.0,2005-06-24,Carmen
782,783,2004-10-06,Oficina,Alquiler,Girona,219.0,1455693.0,2005-01-28,Joaquín
790,791,2004-10-08,Industrial,Venta,Girona,113.0,869196.0,2005-07-28,Jesús
797,798,2004-10-11,Piso,Venta,Girona,222.0,1478742.0,2005-09-24,Jesús
803,804,2004-10-13,Industrial,Venta,Girona,114.0,580032.0,2005-03-28,Jesús
807,808,2004-10-15,Oficina,Alquiler,Girona,119.0,630224.0,2005-04-09,Joaquín
812,813,2004-10-17,Casa,Venta,Girona,138.0,733470.0,2005-04-04,Pedro
820,821,2004-10-19,Parking,Venta,Girona,161.0,1392006.0,2005-07-12,María
825,826,2004-10-21,Oficina,Alquiler,Girona,239.0,1709567.0,2005-06-10,Jesús
830,831,2004-10-24,Parking,Venta,Girona,115.0,880900.0,2005-07-04,Carmen
836,837,2004-10-27,Local,Venta,Girona,127.0,1021334.0,2005-05-21,Joaquín
839,840,2004-10-27,Parking,Alquiler,Girona,114.0,1040478.0,2005-04-29,Carmen
840,841,2004-10-27,Piso,Venta,Girona,120.0,1061160.0,2005-04-13,Luisa
846,847,2004-10-31,Piso,Alquiler,Girona,121.0,731929.0,2005-06-27,Pedro
849,850,2004-11-01,Piso,Alquiler,Girona,159.0,1391091.0,2005-06-16,Carmen
850,851,2004-11-01,Casa,Alquiler,Girona,157.0,1032118.0,2005-06-16,Luisa
851,852,2004-11-02,Casa,Alquiler,Girona,237.0,1768020.0,2005-04-27,Luisa
854,855,2004-11-03,Suelo,Venta,Girona,223.0,1650200.0,2005-08-28,Carmen
856,857,2004-11-03,Industrial,Venta,Girona,238.0,2379048.0,2005-09-08,María
863,864,2004-11-06,Industrial,Venta,Girona,108.0,553608.0,2005-02-04,Luisa
864,865,2004-11-06,Parking,Alquiler,Girona,110.0,523160.0,2005-09-11,Joaquín
865,866,2004-11-07,Parking,Venta,Girona,136.0,1054544.0,2005-09-18,María
871,872,2004-11-09,Piso,Alquiler,Girona,185.0,1390460.0,2005-08-29,Jesús
874,875,2004-11-09,Oficina,Alquiler,Girona,147.0,1259202.0,2005-05-03,Pedro
882,883,2004-11-11,Piso,Venta,Girona,266.0,1370964.0,2005-10-22,María
883,884,2004-11-11,Piso,Venta,Girona,125.0,590875.0,2005-09-20,Carmen
885,886,2004-11-12,Piso,Venta,Girona,133.0,1191281.0,2005-06-28,Joaquín
890,891,2004-11-13,Casa,Venta,Girona,255.0,2543625.0,2005-08-29,Pedro
900,901,2004-11-16,Parking,Alquiler,Girona,294.0,1653456.0,2005-07-18,Pedro
904,905,2004-11-18,Local,Alquiler,Girona,116.0,479892.0,2005-11-11,Joaquín
907,908,2004-11-18,Parking,Venta,Girona,134.0,933444.0,2005-04-17,Pedro
914,915,2004-11-20,Oficina,Venta,Girona,285.0,1869885.0,2005-08-10,Jesús
923,924,2004-11-25,Parking,Alquiler,Girona,283.0,2213909.0,2005-05-10,Luisa
933,934,2004-11-29,Casa,Alquiler,Girona,228.0,2212740.0,2005-10-10,Jesús
935,936,2004-12-01,Parking,Alquiler,Girona,116.0,573040.0,2005-11-01,María
936,937,2004-12-01,Industrial,Alquiler,Girona,276.0,1932552.0,2005-10-20,María
938,939,2004-12-01,Industrial,Alquiler,Girona,216.0,1962360.0,2005-05-17,Pedro
945,946,2004-12-04,Piso,Venta,Girona,243.0,1447551.0,2005-09-13,Pedro
947,948,2004-12-05,Piso,Alquiler,Girona,237.0,1725597.0,2005-07-07,Pedro
949,950,2004-12-05,Piso,Venta,Girona,233.0,2153852.0,2005-03-11,Pedro
952,953,2004-12-07,Casa,Alquiler,Girona,240.0,1510320.0,2005-10-19,Carmen
954,955,2004-12-09,Suelo,Venta,Girona,200.0,1938400.0,2005-08-25,María
959,960,2004-12-10,Suelo,Venta,Girona,275.0,1732500.0,2005-07-10,Joaquín
963,964,2004-12-11,Suelo,Venta,Girona,185.0,1038590.0,2005-07-15,Luisa
966,967,2004-12-12,Piso,Venta,Girona,175.0,722925.0,2005-03-18,Carmen
969,970,2004-12-14,Piso,Alquiler,Girona,232.0,1193408.0,2005-06-07,Luisa
971,972,2004-12-14,Piso,Venta,Girona,219.0,1059303.0,2005-07-27,Joaquín
980,981,2004-12-18,Local,Venta,Girona,278.0,2273762.0,2005-11-30,Pedro
991,992,2004-12-22,Piso,Alquiler,Girona,281.0,2326118.0,2005-07-22,María
993,994,2004-12-22,Local,Venta,Girona,187.0,1346961.0,2005-12-20,Joaquín
997,998,2004-12-23,Local,Venta,Girona,219.0,2101743.0,2005-07-30,Luisa
1004,1005,2004-12-26,Oficina,Alquiler,Girona,159.0,1437360.0,2005-06-12,Luisa
1009,1010,2004-12-27,Parking,Venta,Girona,211.0,945702.0,2005-12-04,Luisa
1016,1017,2005-01-01,Parking,Venta,Girona,217.0,2101862.0,2005-10-23,Carmen
1022,1023,2005-01-03,Oficina,Venta,Girona,105.0,889980.0,2005-10-16,Pedro
1033,1034,2005-01-06,Industrial,Alquiler,Girona,153.0,923355.0,2005-07-07,Luisa
1044,1045,2005-01-11,Parking,Alquiler,Girona,260.0,2402920.0,2005-10-09,Joaquín
1045,1046,2005-01-11,Suelo,Alquiler,Girona,240.0,1823280.0,2005-09-04,Luisa
1058,1059,2005-01-16,Oficina,Venta,Girona,133.0,573230.0,2005-09-20,Jesús
1065,1066,2005-01-20,Suelo,Venta,Girona,287.0,2808008.0,2005-06-24,Pedro
1070,1071,2005-01-21,Parking,Venta,Girona,118.0,1134452.0,2005-04-27,Carmen
1071,1072,2005-01-22,Piso,Alquiler,Girona,132.0,592152.0,2005-04-23,Carmen
1083,1084,2005-01-25,Parking,Alquiler,Girona,287.0,1370138.0,2005-05-03,Joaquín
1092,1093,2005-01-31,Parking,Alquiler,Girona,222.0,2209344.0,2005-09-09,Carmen
1105,1106,2005-02-04,Oficina,Venta,Girona,141.0,1279434.0,2005-09-26,Carmen
1116,1117,2005-02-08,Casa,Alquiler,Girona,154.0,1037498.0,2005-09-20,Luisa
1119,1120,2005-02-10,Local,Venta,Girona,180.0,1707660.0,2005-07-28,Joaquín
1121,1122,2005-02-11,Piso,Venta,Girona,228.0,1339044.0,2005-12-14,Pedro
1122,1123,2005-02-11,Oficina,Venta,Girona,157.0,879357.0,2005-05-17,Joaquín
1123,1124,2005-02-11,Piso,Venta,Girona,208.0,1215344.0,2005-05-27,Jesús
1128,1129,2005-02-14,Oficina,Alquiler,Girona,119.0,899640.0,2005-12-12,Pedro
1151,1152,2005-02-19,Local,Venta,Girona,224.0,1966272.0,2005-12-02,Pedro
1156,1157,2005-02-20,Local,Venta,Girona,254.0,1614170.0,2006-01-18,María
1167,1168,2005-02-24,Piso,Venta,Girona,206.0,1136502.0,2006-01-22,Pedro
1171,1172,2005-02-24,Oficina,Venta,Girona,188.0,1697640.0,2005-08-04,Luisa
1181,1182,2005-03-01,Suelo,Venta,Girona,177.0,1203246.0,2006-02-20,Carmen
1185,1186,2005-03-03,Casa,Alquiler,Girona,151.0,756208.0,2006-02-13,Luisa
1189,1190,2005-03-03,Parking,Venta,Girona,153.0,1401633.0,2005-09-14,Carmen
1191,1192,2005-03-04,Casa,Alquiler,Girona,235.0,2055310.0,2006-01-03,Jesús
1195,1196,2005-03-05,Suelo,Venta,Girona,124.0,614048.0,2005-07-13,Joaquín
1207,1208,2005-03-08,Suelo,Alquiler,Girona,236.0,1449512.0,2006-02-05,Joaquín
1213,1214,2005-03-10,Casa,Alquiler,Girona,145.0,655690.0,2005-06-08,María
1217,1218,2005-03-11,Piso,Venta,Girona,241.0,1729416.0,2005-09-18,Carmen
1222,1223,2005-03-12,Parking,Venta,Girona,181.0,1805475.0,2005-06-10,María
1224,1225,2005-03-14,Parking,Venta,Girona,164.0,785068.0,2006-01-22,Jesús
1226,1227,2005-03-14,Industrial,Alquiler,Girona,164.0,1526840.0,2005-10-20,María
1229,1230,2005-03-15,Suelo,Venta,Girona,268.0,2422720.0,2005-11-27,Carmen
1237,1238,2005-03-19,Casa,Venta,Girona,192.0,820608.0,2005-07-28,Luisa
1244,1245,2005-03-20,Parking,Venta,Girona,276.0,1477428.0,2005-11-23,María
1249,1250,2005-03-23,Piso,Venta,Girona,163.0,1362843.0,2006-01-31,Luisa
1255,1256,2005-03-24,Piso,Venta,Girona,168.0,1620192.0,2005-10-09,María
1256,1257,2005-03-25,Parking,Venta,Girona,117.0,1149525.0,2006-02-27,Pedro
1267,1268,2005-03-30,Industrial,Alquiler,Girona,167.0,1191044.0,2006-03-30,Joaquín
1271,1272,2005-03-30,Suelo,Alquiler,Girona,216.0,1500984.0,2005-10-23,Joaquín
1272,1273,2005-03-31,Piso,Venta,Girona,283.0,1599233.0,2005-11-04,Pedro
1280,1281,2005-04-04,Piso,Venta,Girona,176.0,1004608.0,2006-01-06,Jesús
1282,1283,2005-04-04,Local,Alquiler,Girona,179.0,812660.0,2005-10-31,Jesús
1285,1286,2005-04-05,Parking,Alquiler,Girona,297.0,2872287.0,2005-09-16,Luisa
1294,1295,2005-04-07,Oficina,Alquiler,Girona,214.0,899228.0,2005-12-24,Luisa
1296,1297,2005-04-07,Industrial,Venta,Girona,230.0,1751450.0,2005-07-07,Jesús
1298,1299,2005-04-09,Local,Venta,Girona,290.0,1702590.0,2006-04-09,Pedro
1301,1302,2005-04-11,Casa,Venta,Girona,288.0,2371392.0,2005-11-17,Luisa
1306,1307,2005-04-15,Industrial,Venta,Girona,264.0,2589312.0,2005-07-20,Pedro
1310,1311,2005-04-15,Casa,Alquiler,Girona,185.0,1059680.0,2005-07-14,Pedro
1311,1312,2005-04-16,Oficina,Venta,Girona,180.0,1523880.0,2005-11-11,Jesús
1319,1320,2005-04-18,Piso,Alquiler,Girona,164.0,841484.0,2006-04-07,María
1320,1321,2005-04-18,Local,Alquiler,Girona,271.0,2478566.0,2005-07-21,Pedro
1328,1329,2005-04-20,Oficina,Venta,Girona,182.0,1367366.0,2005-07-21,Carmen
1340,1341,2005-04-25,Local,Venta,Girona,132.0,1007688.0,2005-12-26,Luisa
1351,1352,2005-04-27,Piso,Venta,Girona,189.0,1064637.0,2005-11-29,Jesús
1362,1363,2005-04-30,Casa,Venta,Girona,157.0,729579.0,2006-01-01,Joaquín
1374,1375,2005-05-04,Casa,Venta,Girona,175.0,1363950.0,2005-09-11,Jesús
1379,1380,2005-05-06,Industrial,Venta,Girona,192.0,958464.0,2005-08-13,Jesús
1382,1383,2005-05-06,Industrial,Venta,Girona,167.0,814793.0,2006-02-27,Luisa
1387,1388,2005-05-08,Casa,Venta,Girona,270.0,2288520.0,2005-11-02,Joaquín
1388,1389,2005-05-08,Parking,Venta,Girona,203.0,1892772.0,2006-03-26,María
1390,1391,2005-05-09,Industrial,Alquiler,Girona,160.0,804640.0,2006-04-03,Carmen
1391,1392,2005-05-09,Suelo,Alquiler,Girona,235.0,1046925.0,2005-12-05,Carmen
1394,1395,2005-05-10,Local,Venta,Girona,252.0,1923264.0,2005-09-21,Carmen
1398,1399,2005-05-11,Oficina,Venta,Girona,166.0,804768.0,2005-12-04,María
1402,1403,2005-05-14,Suelo,Alquiler,Girona,254.0,2417572.0,2005-09-20,María
1411,1412,2005-05-18,Industrial,Alquiler,Girona,233.0,2120067.0,2006-02-24,Jesús
1421,1422,2005-05-22,Parking,Alquiler,Girona,282.0,1132230.0,2006-03-20,Pedro
1426,1427,2005-05-24,Parking,Alquiler,Girona,223.0,2228439.0,2005-09-17,Carmen
1438,1439,2005-05-28,Industrial,Venta,Girona,233.0,1306664.0,2005-10-30,Luisa
1439,1440,2005-05-28,Parking,Venta,Girona,255.0,1504755.0,2005-10-31,Luisa
1457,1458,2005-06-05,Parking,Venta,Girona,277.0,1691085.0,2005-11-19,Pedro
1459,1460,2005-06-06,Oficina,Alquiler,Girona,228.0,1039452.0,2006-01-11,Carmen
1460,1461,2005-06-06,Local,Venta,Girona,129.0,563085.0,2005-12-18,Jesús
1463,1464,2005-06-07,Casa,Venta,Girona,179.0,1393157.0,2005-11-26,Luisa
1485,1486,2005-06-15,Local,Alquiler,Girona,167.0,1121906.0,2005-11-12,Carmen
1490,1491,2005-06-16,Oficina,Alquiler,Girona,138.0,1241034.0,2006-06-05,Carmen
1494,1495,2005-06-17,Casa,Venta,Girona,199.0,1590010.0,2006-04-13,Carmen
