,Referencia,Fecha_Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
40,41,2004-01-18,Piso,Venta,Barcelona,230.0,1421860.0,2004-09-23,Jesús
46,47,2004-01-20,Piso,Alquiler,Barcelona,53.0,249418.0,2004-08-11,Luisa
47,48,2004-01-20,Industrial,Venta,Barcelona,284.0,1457488.0,2004-07-06,Jesús
48,49,2004-01-20,Local,Venta,Girona,40.0,321680.0,2005-01-11,Jesús
49,50,2004-01-20,Local,Alquiler,Tarragona,235.0,957625.0,2004-11-13,Carmen
50,51,2004-01-20,Industrial,Venta,Lleida,90.0,568620.0,2004-12-14,Joaquín
51,52,2004-01-22,Local,Alquiler,Lleida,206.0,1605564.0,2004-09-26,María
54,55,2004-01-22,Local,Venta,Girona,127.0,983234.0,2004-07-09,Carmen
55,56,2004-01-23,Piso,Venta,Lleida,54.0,239220.0,2004-05-01,María
57,58,2004-01-24,Local,Alquiler,Girona,274.0,2287626.0,2004-12-21,María
58,59,2004-01-24,Industrial,Venta,Tarragona,166.0,1373816.0,2004-11-19,Joaquín
61,62,2004-01-24,Industrial,Venta,Tarragona,178.0,1142938.0,2005-01-23,Joaquín
62,63,2004-01-25,Piso,Venta,Barcelona,144.0,738144.0,2004-09-06,Luisa
63,64,2004-01-26,Industrial,Venta,Lleida,57.0,509010.0,2004-10-13,María
66,67,2004-01-27,Industrial,Alquiler,Barcelona,219.0,948927.0,2004-10-15,Jesús
67,68,2004-01-27,Local,Alquiler,Barcelona,68.0,376992.0,2004-06-28,Luisa
68,69,2004-01-27,Local,Venta,Girona,248.0,2212408.0,2004-10-09,María
72,73,2004-01-28,Parking,Alquiler,Barcelona,62.0,320044.0,2004-09-04,Joaquín
73,74,2004-01-29,Industrial,Venta,Girona,229.0,1098055.0,2004-10-22,Joaquín
76,77,2004-01-30,Industrial,Alquiler,Tarragona,112.0,1104992.0,2004-06-25,Pedro
77,78,2004-01-31,Piso,Venta,Lleida,87.0,448485.0,2004-10-04,María
78,79,2004-01-31,Parking,Venta,Barcelona,298.0,2520484.0,2004-11-27,Carmen
79,80,2004-01-31,Parking,Alquiler,Barcelona,217.0,1339107.0,2004-10-05,Carmen
80,81,2004-02-01,Industrial,Alquiler,Barcelona,236.0,1812244.0,2004-11-17,Pedro
81,82,2004-02-02,Parking,Venta,Girona,117.0,1069731.0,2004-09-14,Pedro
83,84,2004-02-02,Piso,Venta,Barcelona,94.0,470940.0,2004-07-28,Carmen
84,85,2004-02-02,Local,Alquiler,Barcelona,127.0,925322.0,2004-06-03,Joaquín
85,86,2004-02-03,Piso,Venta,Girona,275.0,2141700.0,2005-01-08,Jesús
86,87,2004-02-03,Industrial,Alquiler,Barcelona,93.0,778875.0,2004-05-12,Luisa
87,88,2004-02-03,Parking,Alquiler,Tarragona,58.0,421196.0,2004-10-10,Pedro
88,89,2004-02-04,Local,Alquiler,Barcelona,49.0,219716.0,2004-09-27,Jesús
90,91,2004-02-04,Industrial,Alquiler,Barcelona,123.0,723609.0,2004-12-16,Joaquín
91,92,2004-02-05,Piso,Alquiler,Barcelona,48.0,388032.0,2004-05-06,Jesús
92,93,2004-02-05,Industrial,Alquiler,Tarragona,132.0,922020.0,2004-10-23,Joaquín
93,94,2004-02-06,Industrial,Alquiler,Barcelona,177.0,965358.0,2004-06-08,Luisa
94,95,2004-02-06,Local,Venta,Barcelona,68.0,663816.0,2004-05-23,Joaquín
95,96,2004-02-07,Industrial,Alquiler,Tarragona,103.0,728931.0,2005-02-05,Jesús
98,99,2004-02-07,Industrial,Alquiler,Girona,251.0,2067236.0,2004-12-22,María
99,100,2004-02-08,Local,Alquiler,Tarragona,125.0,531375.0,2004-06-23,Jesús
101,102,2004-02-08,Local,Venta,Barcelona,45.0,438435.0,2004-05-23,Luisa
104,105,2004-02-10,Piso,Alquiler,Girona,238.0,1854496.0,2005-02-02,Luisa
105,106,2004-02-10,Piso,Alquiler,Lleida,300.0,2105700.0,2005-01-26,Pedro
109,110,2004-02-12,Parking,Venta,Barcelona,206.0,1587642.0,2004-12-20,Luisa
111,112,2004-02-13,Local,Alquiler,Lleida,160.0,1064800.0,2004-09-22,Pedro
114,115,2004-02-14,Industrial,Venta,Tarragona,54.0,438750.0,2004-08-15,Carmen
115,116,2004-02-15,Parking,Venta,Girona,103.0,973659.0,2005-01-04,Jesús
118,119,2004-02-16,Parking,Venta,Lleida,51.0,307989.0,2004-07-06,Pedro
119,120,2004-02-16,Piso,Venta,Tarragona,174.0,973878.0,2004-12-13,Jesús
120,121,2004-02-17,Parking,Venta,Barcelona,152.0,688864.0,2004-12-06,Jesús
122,123,2004-02-17,Local,Alquiler,Girona,179.0,1461356.0,2004-07-30,Pedro
124,125,2004-02-19,Industrial,Venta,Girona,118.0,1067192.0,2004-08-25,Carmen
125,126,2004-02-19,Industrial,Venta,Tarragona,194.0,1373132.0,2004-08-31,María
126,127,2004-02-20,Industrial,Venta,Barcelona,139.0,1087119.0,2004-05-29,Jesús
128,129,2004-02-21,Parking,Alquiler,Lleida,206.0,1363926.0,2005-01-08,Carmen
130,131,2004-02-21,Local,Venta,Lleida,55.0,477345.0,2004-09-04,Carmen
134,135,2004-02-22,Local,Venta,Lleida,45.0,229455.0,2004-10-05,Jesús
137,138,2004-02-24,Industrial,Venta,Girona,88.0,678480.0,2004-12-28,Luisa
138,139,2004-02-26,Local,Alquiler,Tarragona,63.0,533925.0,2004-09-22,Joaquín
139,140,2004-02-26,Piso,Venta,Barcelona,222.0,1076034.0,2004-06-02,María
143,144,2004-02-28,Parking,Alquiler,Barcelona,121.0,782870.0,2004-11-19,Pedro
144,145,2004-02-28,Piso,Venta,Girona,50.0,315550.0,2004-10-14,Pedro
145,146,2004-02-28,Parking,Venta,Girona,274.0,2028970.0,2004-08-20,Luisa
146,147,2004-02-28,Parking,Alquiler,Barcelona,76.0,734388.0,2004-05-28,Joaquín
147,148,2004-02-28,Local,Venta,Barcelona,109.0,779241.0,2004-05-30,María
148,149,2004-02-29,Piso,Venta,Lleida,249.0,1492506.0,2005-02-12,Luisa
152,153,2004-03-02,Piso,Venta,Lleida,68.0,434656.0,2004-07-13,María
153,154,2004-03-02,Industrial,Alquiler,Lleida,52.0,508924.0,2004-09-03,Pedro
158,159,2004-03-04,Local,Venta,Lleida,106.0,563178.0,2004-08-01,Pedro
161,162,2004-03-05,Piso,Alquiler,Lleida,251.0,1361675.0,2004-08-16,Jesús
162,163,2004-03-05,Local,Venta,Tarragona,266.0,1161090.0,2004-11-23,Carmen
164,165,2004-03-05,Industrial,Venta,Tarragona,104.0,1001104.0,2004-10-11,Luisa
166,167,2004-03-06,Parking,Venta,Girona,169.0,1370759.0,2005-01-14,Luisa
168,169,2004-03-07,Industrial,Alquiler,Barcelona,286.0,2080078.0,2004-07-14,Jesús
171,172,2004-03-08,Piso,Alquiler,Tarragona,108.0,558252.0,2004-10-19,María
173,174,2004-03-09,Piso,Alquiler,Lleida,143.0,1131416.0,2004-08-25,Joaquín
174,175,2004-03-10,Local,Venta,Barcelona,52.0,416936.0,2004-08-25,Carmen
175,176,2004-03-10,Industrial,Alquiler,Lleida,193.0,1658835.0,2004-08-30,Jesús
177,178,2004-03-11,Local,Venta,Tarragona,118.0,513300.0,2004-10-26,María
178,179,2004-03-12,Industrial,Venta,Barcelona,156.0,848328.0,2005-02-27,Jesús
181,182,2004-03-13,Local,Alquiler,Tarragona,162.0,1323054.0,2004-08-25,Joaquín
182,183,2004-03-14,Local,Alquiler,Girona,231.0,1446522.0,2004-09-02,Carmen
184,185,2004-03-15,Industrial,Venta,Barcelona,265.0,2109930.0,2004-08-27,María
186,187,2004-03-16,Local,Alquiler,Barcelona,95.0,919030.0,2004-12-10,María
188,189,2004-03-17,Parking,Venta,Girona,160.0,1261600.0,2004-10-25,Jesús
189,190,2004-03-17,Parking,Alquiler,Lleida,95.0,448210.0,2004-10-25,Pedro
191,192,2004-03-18,Local,Venta,Girona,56.0,553616.0,2005-03-09,Pedro
193,194,2004-03-19,Local,Alquiler,Girona,117.0,986895.0,2004-09-14,Pedro
194,195,2004-03-19,Piso,Venta,Girona,62.0,250852.0,2004-07-21,Carmen
195,196,2004-03-20,Piso,Alquiler,Barcelona,281.0,1336717.0,2004-11-10,Carmen
196,197,2004-03-20,Piso,Venta,Tarragona,87.0,519738.0,2005-01-13,Carmen
199,200,2004-03-22,Parking,Venta,Tarragona,281.0,2108343.0,2004-09-26,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247.0,1050985.0,2004-11-09,Pedro
201,202,2004-03-22,Piso,Alquiler,Girona,52.0,298272.0,2004-08-13,María
202,203,2004-03-22,Local,Alquiler,Girona,169.0,902798.0,2004-07-16,Luisa
203,204,2004-03-23,Local,Alquiler,Barcelona,106.0,692180.0,2004-11-09,Luisa
204,205,2004-03-23,Local,Venta,Girona,274.0,2002392.0,2004-12-04,Luisa
205,206,2004-03-23,Piso,Alquiler,Lleida,250.0,2253500.0,2005-02-21,Joaquín
206,207,2004-03-23,Piso,Alquiler,Lleida,134.0,1338124.0,2004-08-19,Luisa
208,209,2004-03-24,Parking,Venta,Lleida,167.0,1643948.0,2004-09-21,María
210,211,2004-03-25,Parking,Alquiler,Barcelona,269.0,2134246.0,2004-08-11,Carmen
213,214,2004-03-26,Industrial,Venta,Girona,163.0,1385011.0,2004-08-26,Carmen
214,215,2004-03-27,Parking,Alquiler,Girona,214.0,1219158.0,2004-07-13,Pedro
215,216,2004-03-27,Industrial,Venta,Tarragona,263.0,1494892.0,2005-02-02,María
216,217,2004-03-28,Industrial,Alquiler,Lleida,216.0,1398600.0,2004-11-03,Luisa
218,219,2004-03-29,Industrial,Alquiler,Girona,46.0,351256.0,2005-03-28,Luisa
219,220,2004-03-30,Industrial,Alquiler,Lleida,209.0,1042283.0,2004-09-17,Jesús
221,222,2004-03-30,Local,Alquiler,Girona,82.0,420660.0,2004-10-02,María
224,225,2004-04-01,Parking,Alquiler,Barcelona,152.0,1069320.0,2004-12-15,Jesús
225,226,2004-04-01,Local,Alquiler,Tarragona,182.0,1133132.0,2004-08-29,Joaquín
227,228,2004-04-01,Local,Venta,Girona,211.0,2010619.0,2004-11-12,Jesús
230,231,2004-04-03,Local,Alquiler,Barcelona,143.0,665951.0,2005-02-18,Pedro
232,233,2004-04-03,Local,Alquiler,Girona,246.0,1362348.0,2004-10-05,Joaquín
235,236,2004-04-03,Industrial,Venta,Girona,226.0,2104286.0,2004-08-26,Carmen
236,237,2004-04-05,Piso,Venta,Tarragona,262.0,1748850.0,2004-10-07,Pedro
238,239,2004-04-05,Piso,Alquiler,Lleida,268.0,2338032.0,2005-01-02,Pedro
239,240,2004-04-06,Parking,Venta,Barcelona,164.0,1298716.0,2004-12-03,Luisa
240,241,2004-04-06,Local,Venta,Lleida,260.0,2038660.0,2004-07-26,Carmen
242,243,2004-04-07,Local,Venta,Lleida,298.0,1870546.0,2005-03-31,Luisa
243,244,2004-04-07,Local,Alquiler,Tarragona,284.0,1431076.0,2004-12-22,María
245,246,2004-04-09,Local,Venta,Girona,287.0,1936102.0,2005-04-08,Jesús
246,247,2004-04-09,Industrial,Alquiler,Barcelona,159.0,1582527.0,2004-12-09,Jesús
248,249,2004-04-09,Industrial,Venta,Tarragona,223.0,2026401.0,2004-12-13,Joaquín
249,250,2004-04-09,Piso,Alquiler,Lleida,175.0,747075.0,2005-02-01,Pedro
251,252,2004-04-09,Parking,Alquiler,Lleida,168.0,1622040.0,2004-10-15,María
252,253,2004-04-10,Parking,Venta,Tarragona,106.0,567206.0,2004-08-08,María
253,254,2004-04-10,Piso,Venta,Girona,67.0,379689.0,2004-10-29,Pedro
254,255,2004-04-10,Local,Alquiler,Barcelona,49.0,424536.0,2005-03-04,Pedro
255,256,2004-04-10,Industrial,Venta,Girona,238.0,1620304.0,2004-10-05,Carmen
258,259,2004-04-11,Parking,Venta,Tarragona,138.0,1183212.0,2005-02-26,Luisa
259,260,2004-04-12,Piso,Alquiler,Tarragona,258.0,1750014.0,2004-12-09,Luisa
263,264,2004-04-14,Parking,Alquiler,Tarragona,258.0,1770912.0,2005-03-02,Jesús
264,265,2004-04-14,Parking,Venta,Barcelona,105.0,927255.0,2004-11-21,Luisa
265,266,2004-04-14,Parking,Alquiler,Tarragona,216.0,1125792.0,2004-09-16,Jesús
267,268,2004-04-15,Industrial,Alquiler,Girona,150.0,968250.0,2005-02-15,María
268,269,2004-04-15,Parking,Venta,Lleida,52.0,446888.0,2004-09-01,María
269,270,2004-04-15,Parking,Alquiler,Tarragona,223.0,1342906.0,2004-10-31,Joaquín
270,271,2004-04-15,Local,Alquiler,Lleida,237.0,1093281.0,2005-01-02,Jesús
272,273,2004-04-15,Piso,Alquiler,Lleida,120.0,722880.0,2005-02-14,Joaquín
273,274,2004-04-15,Piso,Alquiler,Lleida,113.0,1102880.0,2005-03-17,Jesús
274,275,2004-04-16,Local,Alquiler,Girona,193.0,1079449.0,2004-11-20,Pedro
276,277,2004-04-17,Parking,Venta,Barcelona,209.0,2038586.0,2005-01-06,Jesús
284,285,2004-04-19,Industrial,Alquiler,Tarragona,143.0,712712.0,2005-01-10,Jesús
285,286,2004-04-19,Industrial,Venta,Barcelona,65.0,523770.0,2005-01-24,Jesús
286,287,2004-04-19,Industrial,Alquiler,Barcelona,225.0,1360800.0,2004-07-22,Jesús
291,292,2004-04-21,Parking,Venta,Barcelona,54.0,258444.0,2005-03-08,Pedro
292,293,2004-04-22,Parking,Venta,Girona,82.0,430418.0,2005-02-09,Luisa
295,296,2004-04-22,Parking,Alquiler,Barcelona,235.0,1773780.0,2005-03-28,Pedro
297,298,2004-04-23,Industrial,Venta,Barcelona,106.0,600596.0,2004-11-23,Luisa
298,299,2004-04-23,Industrial,Venta,Girona,45.0,307170.0,2005-04-16,Joaquín
301,302,2004-04-24,Industrial,Alquiler,Girona,211.0,1171894.0,2005-03-22,Pedro
305,306,2004-04-27,Piso,Venta,Lleida,142.0,1055912.0,2004-09-28,Jesús
306,307,2004-04-27,Industrial,Venta,Lleida,196.0,1645616.0,2005-04-14,Carmen
308,309,2004-04-28,Piso,Alquiler,Lleida,237.0,1763517.0,2004-09-06,Luisa
309,310,2004-04-28,Industrial,Venta,Lleida,121.0,792792.0,2004-09-23,Pedro
311,312,2004-04-29,Industrial,Venta,Girona,189.0,1579284.0,2005-01-07,Luisa
312,313,2004-04-30,Local,Alquiler,Barcelona,91.0,391391.0,2005-02-13,Luisa
315,316,2004-05-02,Industrial,Alquiler,Barcelona,261.0,2571111.0,2005-02-07,Carmen
316,317,2004-05-02,Parking,Alquiler,Barcelona,251.0,1754992.0,2004-08-26,Jesús
318,319,2004-05-02,Piso,Venta,Tarragona,123.0,961368.0,2004-09-04,Luisa
319,320,2004-05-02,Industrial,Alquiler,Girona,277.0,2456159.0,2004-08-04,María
320,321,2004-05-03,Industrial,Alquiler,Girona,190.0,977740.0,2004-08-12,Pedro
322,323,2004-05-03,Parking,Venta,Barcelona,237.0,1592166.0,2004-10-15,María
324,325,2004-05-04,Piso,Venta,Girona,60.0,332400.0,2004-08-30,Joaquín
325,326,2004-05-04,Industrial,Alquiler,Barcelona,179.0,1227224.0,2004-10-08,Luisa
328,329,2004-05-04,Industrial,Venta,Lleida,285.0,1922325.0,2004-11-11,María
329,330,2004-05-05,Parking,Alquiler,Girona,125.0,1189250.0,2004-10-26,Pedro
330,331,2004-05-05,Parking,Alquiler,Barcelona,205.0,990355.0,2004-12-08,Luisa
331,332,2004-05-06,Local,Alquiler,Girona,138.0,877680.0,2005-03-31,Luisa
332,333,2004-05-06,Piso,Venta,Barcelona,110.0,803000.0,2004-08-25,Jesús
333,334,2004-05-07,Industrial,Alquiler,Tarragona,242.0,2110966.0,2005-01-22,Pedro
334,335,2004-05-07,Piso,Venta,Lleida,148.0,634920.0,2005-04-27,Joaquín
335,336,2004-05-07,Local,Alquiler,Tarragona,227.0,1394461.0,2005-01-28,María
341,342,2004-05-10,Local,Alquiler,Lleida,259.0,1992228.0,2004-12-21,Pedro
342,343,2004-05-10,Parking,Venta,Barcelona,175.0,1178100.0,2004-11-12,Luisa
344,345,2004-05-11,Industrial,Alquiler,Tarragona,131.0,1263495.0,2005-01-01,Jesús
345,346,2004-05-11,Local,Venta,Tarragona,202.0,1320676.0,2004-12-23,Pedro
346,347,2004-05-11,Industrial,Venta,Barcelona,173.0,851852.0,2004-09-18,Carmen
348,349,2004-05-12,Parking,Venta,Tarragona,234.0,1398852.0,2004-11-01,María
350,351,2004-05-13,Piso,Alquiler,Girona,75.0,418725.0,2005-04-24,Pedro
352,353,2004-05-14,Piso,Alquiler,Tarragona,257.0,1980185.0,2004-08-14,Carmen
353,354,2004-05-14,Piso,Venta,Girona,122.0,885476.0,2005-03-30,Carmen
355,356,2004-05-14,Parking,Alquiler,Lleida,154.0,830830.0,2005-02-03,Luisa
357,358,2004-05-15,Piso,Venta,Barcelona,131.0,1180048.0,2004-11-04,Joaquín
358,359,2004-05-15,Parking,Venta,Lleida,130.0,1176630.0,2005-03-18,Jesús
359,360,2004-05-16,Local,Venta,Barcelona,156.0,896220.0,2005-03-19,Luisa
360,361,2004-05-17,Local,Venta,Lleida,291.0,1505925.0,2005-03-10,Luisa
363,364,2004-05-18,Local,Venta,Lleida,267.0,1257036.0,2004-12-26,Luisa
364,365,2004-05-18,Local,Alquiler,Tarragona,137.0,673355.0,2004-10-16,María
366,367,2004-05-18,Industrial,Alquiler,Lleida,76.0,501220.0,2005-03-24,Jesús
371,372,2004-05-20,Parking,Alquiler,Lleida,163.0,1317529.0,2005-05-03,Luisa
373,374,2004-05-21,Piso,Alquiler,Tarragona,167.0,895287.0,2004-11-13,Jesús
374,375,2004-05-22,Local,Venta,Tarragona,230.0,1398630.0,2005-04-10,María
375,376,2004-05-23,Industrial,Alquiler,Lleida,247.0,1210053.0,2004-09-04,Jesús
378,379,2004-05-24,Piso,Venta,Girona,108.0,812808.0,2004-10-13,Jesús
379,380,2004-05-25,Local,Venta,Lleida,269.0,2586704.0,2005-03-27,Carmen
382,383,2004-05-26,Industrial,Alquiler,Lleida,298.0,1331166.0,2004-12-28,Joaquín
383,384,2004-05-26,Parking,Venta,Barcelona,200.0,1823400.0,2004-10-20,Joaquín
384,385,2004-05-26,Parking,Venta,Barcelona,197.0,1746405.0,2005-03-20,Luisa
385,386,2004-05-26,Parking,Alquiler,Girona,184.0,830760.0,2004-09-13,Pedro
387,388,2004-05-28,Parking,Alquiler,Girona,137.0,835152.0,2005-02-13,Jesús
389,390,2004-05-30,Parking,Alquiler,Tarragona,65.0,389350.0,2004-12-10,Luisa
391,392,2004-05-30,Piso,Alquiler,Barcelona,202.0,1560450.0,2005-02-06,Jesús
392,393,2004-05-31,Piso,Venta,Girona,225.0,1164375.0,2005-03-04,Pedro
393,394,2004-05-31,Local,Alquiler,Barcelona,203.0,946792.0,2005-04-17,María
395,396,2004-05-31,Parking,Alquiler,Lleida,296.0,1602544.0,2004-09-07,Jesús
396,397,2004-06-01,Parking,Venta,Barcelona,177.0,933321.0,2005-05-10,Joaquín
397,398,2004-06-01,Industrial,Venta,Girona,72.0,427824.0,2004-11-08,Luisa
398,399,2004-06-01,Industrial,Venta,Tarragona,65.0,483860.0,2005-01-24,Pedro
399,400,2004-06-01,Parking,Venta,Tarragona,208.0,1225120.0,2005-01-22,Carmen
400,401,2004-06-02,Piso,Alquiler,Barcelona,271.0,2682900.0,2005-06-02,Pedro
401,402,2004-06-02,Industrial,Alquiler,Lleida,278.0,2188138.0,2005-01-21,María
402,403,2004-06-02,Piso,Venta,Girona,90.0,770040.0,2005-04-26,Jesús
404,405,2004-06-03,Local,Venta,Tarragona,224.0,1804992.0,2005-01-20,Jesús
406,407,2004-06-03,Industrial,Venta,Barcelona,162.0,1383480.0,2004-12-16,María
407,408,2004-06-04,Industrial,Alquiler,Barcelona,74.0,729788.0,2005-01-22,Pedro
408,409,2004-06-04,Parking,Venta,Girona,293.0,1750089.0,2005-04-05,Luisa
409,410,2004-06-04,Piso,Alquiler,Lleida,46.0,435252.0,2004-10-30,Luisa
410,411,2004-06-05,Local,Venta,Girona,90.0,742770.0,2004-11-27,Luisa
411,412,2004-06-05,Local,Venta,Girona,148.0,1268952.0,2004-10-14,María
412,413,2004-06-05,Piso,Alquiler,Tarragona,189.0,1527498.0,2005-05-14,Luisa
414,415,2004-06-06,Parking,Venta,Barcelona,46.0,386584.0,2004-12-17,Carmen
417,418,2004-06-07,Industrial,Alquiler,Girona,287.0,2452989.0,2005-01-26,Joaquín
418,419,2004-06-07,Parking,Venta,Girona,174.0,952302.0,2004-12-06,Luisa
419,420,2004-06-08,Piso,Alquiler,Lleida,114.0,1019160.0,2005-05-29,Carmen
421,422,2004-06-09,Piso,Alquiler,Barcelona,126.0,637308.0,2004-11-09,Jesús
422,423,2004-06-09,Local,Alquiler,Barcelona,260.0,1090180.0,2004-12-16,Luisa
423,424,2004-06-09,Parking,Venta,Barcelona,261.0,1945755.0,2004-11-06,Jesús
426,427,2004-06-10,Piso,Venta,Barcelona,81.0,583362.0,2005-05-04,Carmen
427,428,2004-06-10,Piso,Alquiler,Lleida,52.0,338364.0,2005-01-04,Carmen
428,429,2004-06-11,Parking,Alquiler,Tarragona,271.0,2190493.0,2004-11-02,Jesús
433,434,2004-06-13,Local,Alquiler,Tarragona,246.0,1898628.0,2004-12-15,Joaquín
434,435,2004-06-13,Industrial,Alquiler,Girona,233.0,1541528.0,2005-02-03,Jesús
436,437,2004-06-14,Parking,Venta,Girona,107.0,909821.0,2005-05-03,Luisa
439,440,2004-06-15,Parking,Venta,Barcelona,115.0,1077665.0,2004-09-19,Jesús
440,441,2004-06-16,Parking,Venta,Barcelona,102.0,790602.0,2004-11-09,Carmen
441,442,2004-06-16,Parking,Venta,Tarragona,211.0,872063.0,2005-02-26,Pedro
442,443,2004-06-17,Piso,Alquiler,Girona,245.0,1001070.0,2004-10-14,Jesús
443,444,2004-06-17,Parking,Venta,Barcelona,102.0,1005312.0,2005-06-09,Luisa
444,445,2004-06-17,Local,Alquiler,Girona,44.0,189156.0,2004-11-25,Jesús
446,447,2004-06-17,Parking,Alquiler,Lleida,263.0,1779458.0,2005-01-24,Pedro
447,448,2004-06-17,Local,Alquiler,Girona,234.0,1159470.0,2004-10-02,Pedro
448,449,2004-06-17,Local,Venta,Girona,118.0,788948.0,2005-04-08,Pedro
449,450,2004-06-18,Industrial,Alquiler,Lleida,248.0,1674744.0,2005-05-01,Luisa
454,455,2004-06-20,Parking,Alquiler,Barcelona,244.0,2439512.0,2005-01-02,Carmen
455,456,2004-06-20,Piso,Venta,Lleida,195.0,1797120.0,2004-12-31,María
457,458,2004-06-20,Piso,Alquiler,Barcelona,71.0,587880.0,2004-10-03,Jesús
464,465,2004-06-24,Industrial,Alquiler,Lleida,268.0,2628812.0,2005-03-15,Pedro
465,466,2004-06-24,Local,Alquiler,Tarragona,44.0,242704.0,2004-10-03,Joaquín
466,467,2004-06-24,Local,Venta,Girona,126.0,520758.0,2005-06-16,Pedro
467,468,2004-06-24,Local,Venta,Tarragona,215.0,870105.0,2005-04-02,Jesús
469,470,2004-06-25,Parking,Venta,Tarragona,191.0,875544.0,2004-11-01,Jesús
472,473,2004-06-25,Parking,Alquiler,Lleida,105.0,872760.0,2005-03-26,Carmen
481,482,2004-06-29,Industrial,Venta,Tarragona,243.0,1983123.0,2005-06-16,María
484,485,2004-06-30,Piso,Alquiler,Tarragona,122.0,1093608.0,2005-02-27,Luisa
485,486,2004-06-30,Piso,Venta,Girona,283.0,2199476.0,2005-06-04,Luisa
487,488,2004-07-01,Piso,Alquiler,Lleida,185.0,1306840.0,2005-05-17,Carmen
489,490,2004-07-02,Parking,Alquiler,Barcelona,234.0,1911312.0,2005-04-08,Luisa
490,491,2004-07-02,Piso,Alquiler,Girona,62.0,358670.0,2005-06-04,Luisa
491,492,2004-07-03,Local,Venta,Lleida,282.0,1298328.0,2005-03-10,Jesús
492,493,2004-07-03,Parking,Alquiler,Lleida,299.0,1948583.0,2004-12-21,María
493,494,2004-07-03,Piso,Venta,Barcelona,274.0,1729762.0,2005-07-03,Luisa
495,496,2004-07-03,Piso,Alquiler,Lleida,155.0,1166065.0,2004-12-07,Jesús
499,500,2004-07-04,Industrial,Alquiler,Lleida,240.0,2238000.0,2005-05-06,Pedro
501,502,2004-07-05,Piso,Alquiler,Lleida,224.0,2087904.0,2005-01-29,Jesús
502,503,2004-07-05,Piso,Venta,Barcelona,72.0,647352.0,2005-06-07,María
504,505,2004-07-05,Industrial,Venta,Tarragona,172.0,860172.0,2005-05-16,Luisa
505,506,2004-07-05,Industrial,Alquiler,Tarragona,235.0,1207195.0,2004-10-14,Luisa
506,507,2004-07-05,Industrial,Alquiler,Tarragona,159.0,1032546.0,2004-11-07,Carmen
507,508,2004-07-05,Local,Venta,Barcelona,271.0,2297538.0,2004-11-22,Jesús
508,509,2004-07-06,Parking,Venta,Tarragona,80.0,428240.0,2005-02-01,Pedro
509,510,2004-07-06,Industrial,Alquiler,Barcelona,227.0,1175860.0,2005-07-05,Joaquín
510,511,2004-07-06,Industrial,Venta,Lleida,40.0,258560.0,2005-03-22,Jesús
511,512,2004-07-06,Parking,Alquiler,Tarragona,239.0,1782940.0,2004-11-13,Joaquín
516,517,2004-07-08,Industrial,Venta,Girona,174.0,1313526.0,2005-01-16,Pedro
518,519,2004-07-09,Piso,Alquiler,Barcelona,123.0,682773.0,2005-01-30,Luisa
520,521,2004-07-09,Parking,Venta,Barcelona,105.0,740355.0,2004-12-08,Luisa
